isrc,song_title,artist,spirit_songwriters,lum_us_streams_12mo,lum_us_ondemand_12mo,lum_radio_spins_12mo,lum_radio_audience_12mo,source_ok
QZWFP2688981,X Games,Connor McCutcheon,Connor McCutcheon,14050,13983,0,0,yes
QZZVQ2500323,Chesney On The Beach,McCoy Moore,Brinley Addington,280372,268073,0,0,yes
KRA492600312,Intro,ZEROBASEONE,Ben Samama,149500,148978,0,0,yes
KRA492600313,Top 5,ZEROBASEONE,Ben Samama,2349037,2333861,0,0,yes
USRC12600932,Housekeeping,Ally Salort,Sara Boe,397806,386142,0,0,yes
QM24S2506949,Compass,Matt Hansen,Sara Boe,2984228,2809047,1,0,yes
QM24S2600021,Somewhere In Between,Matt Hansen,Ben Samama,3885579,3762215,0,0,yes
QM24S2602507,Before We Know It,Matt Hansen,Sara Boe,395353,352181,0,0,yes
USSM12600807,Jezebel,GIVEON,Peter Lee Johnson,9218615,8905109,40439,51434400,yes
USUM72603312,Bellafonte,Jenevieve,Tkay Maidza,539749,521565,0,0,yes
QZMEV2661248,Pressed,Tkay Maidza,Tkay Maidza,87352,87337,0,0,yes
